fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,sulphates,alcohol,type,pHValue,taste
7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,0.45,8.8,white,very acidic,normal
6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,0.49,9.5,white,quite acidic,normal
8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,0.44,10.1,white,quite acidic,normal
7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.9956,0.4,9.9,white,very acidic,normal
7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.9956,0.4,9.9,white,very acidic,normal
8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,0.44,10.1,white,quite acidic,normal
6.2,0.32,0.16,7.0,0.045,30.0,136.0,0.9949,0.47,9.6,white,very acidic,normal
7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,0.45,8.8,white,very acidic,normal
6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,0.49,9.5,white,quite acidic,normal
8.1,0.22,0.43,1.5,0.044,28.0,129.0,0.9938,0.45,11.0,white,quite acidic,normal
8.1,0.27,0.41,1.45,0.033,11.0,63.0,0.9908,0.56,12.0,white,extremly acidic,bad
8.6,0.23,0.4,4.2,0.035,17.0,109.0,0.9947,0.53,9.7,white,very acidic,bad
7.9,0.18,0.37,1.2,0.04,16.0,75.0,0.992,0.63,10.8,white,very acidic,bad
6.6,0.16,0.4,1.5,0.044,48.0,143.0,0.9912,0.52,12.4,white,midly acidic,good
8.3,0.42,0.62,19.25,0.04,41.0,172.0,1.0002,0.67,9.7,white,extremly acidic,bad
6.6,0.17,0.38,1.5,0.032,28.0,112.0,0.9914,0.55,11.4,white,quite acidic,good
6.3,0.48,0.04,1.1,0.046,30.0,99.0,0.9928,0.36,9.6,white,quite acidic,normal
6.2,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,0.39,12.8,white,quite acidic,good
7.4,0.34,0.42,1.1,0.033,17.0,171.0,0.9917,0.53,11.3,white,very acidic,normal
6.5,0.31,0.14,7.5,0.044,34.0,133.0,0.9955,0.5,9.5,white,quite acidic,bad
6.2,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,0.39,12.8,white,quite acidic,good
6.4,0.31,0.38,2.9,0.038,19.0,102.0,0.9912,0.35,11.0,white,very acidic,good
6.8,0.26,0.42,1.7,0.049,41.0,122.0,0.993,0.48,10.5,white,midly acidic,good
7.6,0.67,0.14,1.5,0.074,25.0,168.0,0.9937,0.51,9.3,white,very acidic,bad
6.6,0.27,0.41,1.3,0.052,16.0,142.0,0.9951,0.47,10.0,white,midly acidic,normal
7.0,0.25,0.32,9.0,0.046,56.0,245.0,0.9955,0.5,10.4,white,quite acidic,normal
6.9,0.24,0.35,1.0,0.052,35.0,146.0,0.993,0.44,10.0,white,midly acidic,normal
7.0,0.28,0.39,8.7,0.051,32.0,141.0,0.9961,0.53,10.5,white,quite acidic,normal
7.4,0.27,0.48,1.1,0.047,17.0,132.0,0.9914,0.49,11.6,white,very acidic,normal
7.2,0.32,0.36,2.0,0.033,37.0,114.0,0.9906,0.71,12.3,white,very acidic,good
8.5,0.24,0.39,10.4,0.044,20.0,142.0,0.9974,0.53,10.0,white,quite acidic,normal
8.3,0.14,0.34,1.1,0.042,7.0,47.0,0.9934,0.4,10.2,white,midly acidic,normal
7.4,0.25,0.36,2.05,0.05,31.0,100.0,0.992,0.44,10.8,white,very acidic,normal
6.2,0.12,0.34,1.5,0.045,43.0,117.0,0.9939,0.51,9.0,white,midly acidic,normal
5.8,0.27,0.2,14.95,0.044,22.0,179.0,0.9962,0.37,10.2,white,quite acidic,bad
7.3,0.28,0.43,1.7,0.08,21.0,123.0,0.9905,0.42,12.8,white,very acidic,bad
,0.28,0.43,1.7,0.08,21.0,123.0,0.9905,0.42,12.8,white,very acidic,bad
6.5,0.39,0.23,5.4,0.051,25.0,149.0,0.9934,0.35,10.0,white,quite acidic,bad
7.0,0.33,0.32,1.2,0.053,38.0,138.0,0.9906,0.28,11.2,white,very acidic,normal
7.3,0.24,0.39,17.95,0.057,45.0,149.0,0.9999,0.36,8.6,white,quite acidic,bad
7.3,0.24,0.39,17.95,0.057,45.0,149.0,0.9999,0.36,8.6,white,quite acidic,bad
6.7,0.23,0.39,2.5,0.172,63.0,158.0,0.9937,0.36,9.4,white,very acidic,normal
6.7,0.24,0.39,2.9,0.173,63.0,157.0,0.9937,0.34,9.4,white,very acidic,normal
7.0,0.31,0.26,7.4,0.069,28.0,160.0,0.9954,0.46,9.8,white,very acidic,normal
6.6,0.24,0.27,1.4,0.057,33.0,152.0,0.9934,0.56,9.5,white,quite acidic,normal
6.7,0.23,0.26,1.4,0.06,33.0,154.0,0.9934,0.56,9.5,white,quite acidic,normal
7.4,0.18,0.31,1.4,0.058,38.0,167.0,0.9931,0.53,10.0,white,very acidic,good
6.2,0.45,0.26,4.4,0.063,63.0,206.0,0.994,0.52,9.8,white,quite acidic,bad
6.2,0.46,0.25,4.4,0.066,62.0,207.0,0.9939,0.52,9.8,white,quite acidic,bad
7.0,0.31,0.26,7.4,0.069,28.0,160.0,0.9954,0.46,9.8,white,very acidic,normal
6.9,0.19,0.35,5.0,0.067,32.0,150.0,0.995,0.48,9.8,white,quite acidic,bad
7.2,0.19,0.31,1.6,0.062,31.0,173.0,0.9917,0.44,11.7,white,quite acidic,normal
6.6,0.25,0.29,1.1,0.068,39.0,124.0,0.9914,0.58,11.0,white,quite acidic,good
6.2,0.16,0.33,1.1,0.057,21.0,82.0,0.991,0.46,10.9,white,quite acidic,good
6.4,0.18,0.35,1.0,0.045,39.0,108.0,0.9911,0.35,10.9,white,quite acidic,normal
6.8,0.2,0.59,0.9,0.147,38.0,132.0,0.993,0.38,9.1,white,very acidic,normal
6.9,0.25,0.35,1.3,0.039,29.0,191.0,0.9908,0.52,11.0,white,very acidic,normal
7.2,0.21,0.34,11.9,0.043,37.0,213.0,0.9962,0.5,9.6,white,very acidic,normal
6.0,0.19,0.26,12.4,0.048,50.0,147.0,0.9972,0.36,8.9,white,quite acidic,normal
6.6,0.38,0.15,4.6,0.044,25.0,78.0,0.9931,0.38,10.2,white,very acidic,normal
7.4,0.2,0.36,1.2,0.038,44.0,111.0,0.9926,0.34,9.9,white,quite acidic,normal
6.8,0.22,0.24,4.9,0.092,30.0,123.0,0.9951,0.46,8.6,white,very acidic,normal
6.0,0.19,0.26,12.4,0.048,50.0,147.0,0.9972,0.36,8.9,white,quite acidic,normal
7.0,0.47,0.07,1.1,0.035,17.0,151.0,0.991,0.34,10.5,white,very acidic,bad
6.6,0.38,0.15,4.6,0.044,25.0,78.0,0.9931,0.38,10.2,white,very acidic,normal
7.2,0.24,0.27,1.4,0.038,31.0,122.0,0.9927,0.46,10.3,white,very acidic,normal
6.2,0.35,0.03,1.2,0.064,29.0,120.0,0.9934,0.54,9.1,white,quite acidic,bad
6.4,0.26,0.24,6.4,0.04,27.0,124.0,0.9903,0.49,12.6,white,quite acidic,good
6.7,0.25,0.13,1.2,0.041,81.0,174.0,0.992,0.42,9.8,white,very acidic,bad
6.7,0.23,0.31,2.1,0.046,30.0,96.0,0.9926,0.64,10.7,white,quite acidic,good
7.4,0.24,0.29,10.1,0.05,21.0,105.0,0.9962,0.35,9.5,white,very acidic,bad
6.2,0.27,0.43,7.8,0.056,48.0,244.0,0.9956,0.51,9.0,white,very acidic,normal
6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,0.6,9.5,white,quite acidic,bad
6.0,0.27,0.28,4.8,0.063,31.0,201.0,0.9964,0.71,10.0,white,acidic,bad
8.6,0.23,0.46,1.0,0.054,9.0,72.0,0.9941,0.49,9.1,white,extremly acidic,normal
6.7,0.23,0.31,2.1,0.046,30.0,96.0,0.9926,0.64,10.7,white,quite acidic,good
7.4,0.24,0.29,10.1,0.05,21.0,105.0,0.9962,0.35,9.5,white,very acidic,bad
7.1,0.18,0.36,1.4,0.043,31.0,87.0,0.9898,0.37,12.7,white,quite acidic,good
7.0,0.32,0.34,1.3,0.042,20.0,69.0,0.9912,0.65,12.0,white,quite acidic,good
7.4,0.18,0.3,8.8,0.064,26.0,103.0,0.9961,0.56,9.3,white,extremly acidic,bad
6.7,0.54,0.28,5.4,0.06,21.0,105.0,0.9949,0.37,9.0,white,quite acidic,bad
6.8,0.22,0.31,1.4,0.053,34.0,114.0,0.9929,0.77,10.6,white,quite acidic,normal
7.1,0.2,0.34,16.0,0.05,51.0,166.0,0.9985,0.6,9.2,white,quite acidic,normal
7.1,0.34,0.2,6.1,0.063,47.0,164.0,0.9946,0.42,10.0,white,very acidic,bad
7.3,0.22,0.3,8.2,0.047,42.0,207.0,0.9966,0.46,9.5,white,quite acidic,normal
7.1,0.43,0.61,11.8,0.045,54.0,155.0,0.9974,0.45,8.7,white,very acidic,bad
7.1,0.44,0.62,11.8,0.044,52.0,152.0,0.9975,0.46,8.7,white,very acidic,normal
7.2,0.39,0.63,11.0,0.044,55.0,156.0,0.9974,0.44,8.7,white,very acidic,normal
6.8,0.25,0.31,13.3,0.05,69.0,202.0,0.9972,0.48,9.7,white,quite acidic,normal
7.1,0.43,0.61,11.8,0.045,54.0,155.0,0.9974,0.45,8.7,white,very acidic,bad
7.1,0.44,0.62,11.8,0.044,52.0,152.0,0.9975,0.46,8.7,white,very acidic,normal
7.2,0.39,0.63,11.0,0.044,55.0,156.0,0.9974,0.44,8.7,white,very acidic,normal
6.1,0.27,0.43,7.5,0.049,65.0,243.0,0.9957,0.47,9.0,white,very acidic,bad
6.9,0.24,0.33,1.7,0.035,47.0,136.0,0.99,0.4,12.6,white,quite acidic,good
6.9,0.21,0.33,1.8,0.034,48.0,136.0,0.9899,0.41,12.6,white,quite acidic,good
7.5,0.17,0.32,1.7,0.04,51.0,148.0,0.9916,0.44,11.5,white,quite acidic,good
7.1,0.26,0.29,12.4,0.044,62.0,240.0,0.9969,0.42,9.2,white,very acidic,normal
6.0,0.34,0.66,15.9,0.046,26.0,164.0,0.9979,0.5,8.8,white,very acidic,normal
8.6,0.265,0.36,1.2,0.034,15.0,80.0,0.9913,0.36,11.4,white,extremly acidic,good
9.8,0.36,0.46,10.5,0.038,4.0,83.0,0.9956,0.3,10.1,white,extremly acidic,bad
6.0,0.34,0.66,15.9,0.046,26.0,164.0,0.9979,0.5,8.8,white,very acidic,normal
7.4,0.25,0.37,13.5,0.06,52.0,192.0,0.9975,0.44,9.1,white,very acidic,bad
7.1,0.12,0.32,9.6,0.054,64.0,162.0,0.9962,0.41,9.4,white,midly acidic,bad
6.0,0.21,0.24,12.1,0.05,55.0,164.0,0.997,0.39,9.4,white,quite acidic,bad
7.5,0.305,0.4,18.9,0.059,44.0,170.0,1.0,0.46,9.0,white,extremly acidic,bad
